Rank,Player,School,Position
1,Arch Manning,Texas,QB
2,Dante Moore,Oregon,QB
3,Jeremiah Smith,Ohio State,WR
4,Leonard Moore,Notre Dame,CB
5,Dylan Stewart,South Carolina,EDGE
6,Colin Simmons,Texas,EDGE
7,Darian Mensah,Miami (FL),QB
8,Cam Coleman,Texas,WR
9,Jordan Seaton,LSU,OT
10,Trevor Goosby,Texas,OT
11,David Stone,Oklahoma,DL
12,Drew Mestemaker,Oklahoma State,QB
13,Julian Sayin,Ohio State,QB
14,CJ Carr,Notre Dame,QB
15,Will Echoles,Mississippi,DL
16,Jamari Johnson,Oregon,TE
17,Ellis Robinson IV,Georgia,CB
18,Brauntae Johnson,Notre Dame,S
19,A'Mauri Washington,Oregon,DL
20,KJ Bolden,Georgia,S
21,LaNorris Sellers,South Carolina,QB
22,Ryan Coleman-Williams,Alabama,WR
23,Jadan Baugh,Florida,RB
24,Zabien Brown,Alabama,CB
25,Charlie Becker,Indiana,WR
26,Kelley Jones,Mississippi State,CB
27,Nick Marsh,Indiana,WR
28,Trey'Dez Green,LSU,TE
29,Kewan Lacy,Mississippi,RB
30,Kade Pieper,Iowa,IOL
31,Ashton Hampton,Clemson,CB
32,Justin Scott,Miami (FL),DL
33,Sammy Brown,Clemson,LB
34,Quincy Rhodes Jr.,Arkansas,EDGE
35,Austin Siereveld,Ohio State,OT
36,Trevor Lauck,Iowa,OT
37,Ahmad Moten Sr.,Miami (FL),DL
38,Matayo Uiagalelei,Oregon,EDGE
39,Carter Smith,Indiana,OT
40,Cayden Green,Missouri,OT
41,Yhonzae Pierre,Alabama,EDGE
42,Jacarrius Peak,South Carolina,OT
43,Kyngstonn Viliamu-Asa,Notre Dame,LB
44,Jayden Maiava,USC,QB
45,Chris Cole,Georgia,LB
46,Omarion Miller,Arizona State,WR
47,Kenyatta Jackson,Ohio State,EDGE
48,Ahmad Hardy,Missouri,RB
49,Drake Lindsey,Minnesota,QB
50,Teitum Tuioti,Oregon,EDGE
51,Will Heldt,Clemson,EDGE
52,Greg Johnson,Minnesota,IOL
53,Nyck Harbor,South Carolina,WR
54,Brice Pollock,Texas Tech,CB
55,Boubacar Traore,Notre Dame,EDGE
56,Trinidad Chambliss,Mississippi,QB
57,Anthonie Knapp,Notre Dame,OT
58,Bray Hubbard,Alabama,S
59,Bear Alexander,Oregon,DL
60,Melvin Siani,Texas,OT
61,Damon Wilson Jr.,Miami (FL),EDGE
62,Jelani McDonald,Texas,S
63,Koi Perich,Oregon,S
64,Mario Craver,Texas A&M,WR
65,Bryant Wesco,Clemson,WR
66,Rasheem Biles,Texas,LB
67,Ty Benefield,LSU,S
68,OJ Frederique Jr.,Miami (FL),CB
69,Whit Weeks,LSU,LB
70,A.J. Holmes Jr,Texas Tech,DL
71,KJ Duff,Rutgers,WR
72,TJ Moore,Clemson,WR
73,Anthony Smith,Minnesota,DL
74,Wyatt Young,Oklahoma State,WR
75,Iapani Laloulu,Oregon,IOL
76,Clev Lubin,Louisville,EDGE
77,Coen Echols,Texas A&M,IOL
78,Vicari Swain,South Carolina,CB
79,John Henry Daley,Michigan,EDGE
80,Benjamin Brahmer,Penn State,TE
81,Mark Fletcher,Miami (FL),RB
82,Jamari Sharpe,Indiana,CB
83,Terrance Carter,Texas Tech,TE
84,Zeke Berry,Michigan,CB
85,PJ Williams,SMU,OT
86,Sam Leavitt,LSU,QB
87,Chris Peal,Syracuse,CB
88,Anto Saka,Texas A&M,EDGE
89,LJ Martin,BYU,RB
90,Zach Lutmer,Iowa,S
91,Isaac Brown,Louisville,RB
92,Ryan Wingo,Texas,WR
93,Tavion Gadson,Kentucky,DL
94,Junior Sherrill,Vanderbilt,WR
95,Brendan Sorsby,Texas Tech,QB
96,Suntarine Perkins,Mississippi,LB
97,Evan Tengesdahl,Cincinnati,IOL
98,Cole Sullivan,Oklahoma,LB
99,Earnest Greene,Georgia,OT
100,Dashawn Spears,LSU,S
