player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Gracen Halton,85774,DI,AMER SENR,1,0,0,357,66.3,1,0,5,100.0,20.0,1,0,10.0,0,5,5,1,0,67.7,1,0,3,100.0,33.3,1,16.7,0,3,3,1
Rico Watson III,99809,ED,WRHK AMER,1,0,0,1542,59.2,0,1,10,100.0,10.0,1,0,5.0,0,11,11,1,0,61.1,0,1,6,100.0,16.7,1,8.3,0,7,7,1
Gary Smith III,122388,DI,EAST SHRNE,1,0,0,354,57.5,0,0,9,100.0,0.0,0,0,0.0,0,9,9,0,0,58.2,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Ben Bell,122665,ED,KAI HULA,1,0,0,1446,83.5,1,4,22,100.0,22.7,5,0,11.4,0,23,23,5,0,69.9,0,3,8,100.0,25.0,2,18.8,0,9,9,3
Mason Reiger,122721,ED,EAST SHRNE,1,0,0,354,82.7,0,1,28,100.0,14.3,4,0,12.5,3,29,29,4,0,86.2,0,1,18,100.0,22.2,4,13.9,2,19,19,3
Dayon Hayes,123010,ED,WRHK AMER,2,0,1,1542,58.5,0,3,19,100.0,10.5,2,2,13.2,1,23,23,4,0,66.6,0,1,9,100.0,22.2,2,16.7,1,13,13,2
Adonis Friloux,123216,DI,WEST SHRNE,1,0,0,355,55.9,0,0,9,100.0,0.0,0,0,0.0,0,12,12,0,0,57.4,0,0,3,100.0,0.0,0,0.0,0,4,4,0
Jacobian Guillory II,124097,DI,GUAR AMER,1,0,0,1541,59.2,0,1,16,100.0,6.3,1,0,3.1,0,18,18,1,0,61.0,0,1,7,100.0,14.3,1,7.1,0,9,9,1
Dominic Bailey,124267,ED,KAI HULA,1,0,0,1446,61.2,0,1,13,100.0,0.0,0,0,3.8,0,14,14,1,0,64.3,0,1,6,100.0,0.0,0,8.3,0,7,7,1
Bryson Eason,124276,DI,NORTH SENR,1,0,0,356,86.6,0,1,10,100.0,10.0,1,0,5.0,0,14,14,1,0,90.2,0,0,5,100.0,20.0,1,0.0,0,9,9,0
James Stewart,126263,ED,HBCUGA,1,0,0,1459,81.5,1,2,27,100.0,22.2,6,0,9.3,1,27,27,4,0,84.7,1,2,17,100.0,35.3,6,8.8,0,17,17,3
Langston Patterson,126465,LB,WRHK AMER,1,0,0,1542,60.0,0,0,1,9.1,100.0,1,0,0.0,0,11,1,0,0,,0,0,0,0.0,,0,,0,8,0,0
Sabastian Harsh,128416,ED,WRHK AMER,1,0,0,1542,75.1,1,2,15,100.0,33.3,5,0,10.0,0,16,16,3,0,77.2,1,1,11,100.0,45.5,5,9.1,0,12,12,2
Mitchell Melton,129753,ED,KAI HULA,1,0,0,1446,90.2,2,3,22,100.0,22.7,5,0,15.9,1,23,23,6,0,79.0,1,1,8,100.0,25.0,2,12.5,0,9,9,2
Cole Brevard,129766,DI,GUAR AMER,1,0,0,1541,65.2,0,2,11,100.0,18.2,2,0,9.1,0,12,12,2,0,62.1,0,1,7,100.0,14.3,1,7.1,0,8,8,1
Wesley Bailey,129871,ED,AIN HULA,1,0,0,1447,67.5,2,0,18,100.0,11.1,2,0,5.6,0,18,18,2,0,61.7,1,0,6,100.0,0.0,0,8.3,0,6,6,1
Rene Konga,129880,DI,GUAR AMER,2,0,0,1541,62.1,0,3,30,100.0,10.0,3,0,5.0,0,33,33,3,0,58.2,0,1,14,100.0,7.1,1,3.6,0,17,17,1
James Thompson Jr.,129930,DI,WEST SHRNE,1,0,0,355,61.9,0,0,9,100.0,0.0,0,0,11.1,1,9,9,1,0,57.9,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Daniel Rickert,138135,ED,GUAR AMER,1,0,0,1541,81.0,0,1,15,100.0,6.7,1,0,10.0,1,16,16,2,0,86.6,0,0,11,100.0,9.1,1,9.1,1,12,12,1
Carlos Allen Jr.,141334,DI,KAI HULA,1,0,0,1446,64.9,1,0,17,90.0,5.9,1,0,2.9,0,20,18,1,0,71.6,1,0,6,100.0,16.7,1,8.3,0,7,7,1
Quincy Ivory,143327,ED,HBCURO,1,0,0,1460,65.6,1,0,25,100.0,8.0,2,0,6.0,1,28,28,2,0,66.3,1,0,11,100.0,9.1,1,4.5,0,13,13,1
