player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Domani Jackson,71370,CB,WEST SHRNE,1,1,,0,0,355,79.3,79.8,72.2,,63.0,76.2,0.0,0,0,5,5,0.0,0,0
DJ Harvey,72089,CB,GUAR AMER,1,0,,0,0,1541,66.1,66.5,72.7,,60.0,74.2,,0,0,1,2,0.0,0,0
Silas Walters,75263,S,WRHK AMER,1,1,7.0,0,0,1542,65.6,63.5,74.9,,59.1,50.5,33.3,1,0,17,17,0.0,0,1
Gracen Halton,85774,DI,AMER SENR,1,1,,0,0,357,,44.5,70.2,66.3,43.0,71.3,0.0,0,0,3,3,0.0,0,0
Ceyair Wright,86877,CB,AMER SENR,2,2,,0,0,357,65.1,66.6,77.4,,68.5,64.7,0.0,0,0,20,21,0.0,0,0
Rico Watson III,99809,ED,WRHK AMER,1,0,-2.0,0,0,1542,,57.5,76.2,59.2,56.8,24.4,50.0,1,0,7,7,14.3,1,1
Javin Wright,101373,LB,GUAR AMER,1,0,4.0,0,0,1541,66.0,65.6,70.8,,59.6,78.1,0.0,0,0,4,5,25.0,1,2
Aaron Harris,104296,CB,HBCUGA,1,0,12.0,0,0,1459,52.1,54.9,73.4,,67.1,80.7,0.0,0,0,6,7,0.0,0,2
Channing Canada,121668,CB,GUAR AMER,1,0,7.0,0,0,1541,66.6,67.8,74.5,,64.2,80.0,0.0,0,0,6,7,0.0,0,1
Fred Davis II,122146,CB,AMER SENR,1,0,,0,0,357,70.6,71.1,72.0,,60.8,,,0,0,7,7,0.0,0,0
Isaiah Stephens,122358,S,HBCURO,1,1,-1.0,0,0,1460,62.1,62.6,72.3,,60.7,75.6,0.0,0,0,9,9,11.1,1,1
Gary Smith III,122388,DI,EAST SHRNE,1,0,,0,0,354,,44.4,73.7,57.5,43.6,,,0,0,9,9,0.0,0,0
Karon Prunty,122574,CB,AIN HULA,1,0,,0,0,1447,58.0,58.7,71.3,,60.3,76.6,,0,0,6,6,0.0,0,0
Ben Bell,122665,ED,KAI HULA,1,0,-1.0,0,0,1446,,81.0,78.8,83.5,61.4,72.2,0.0,0,0,12,12,8.3,1,1
Darrian Bell,122693,LB,HBCURO,1,0,,0,0,1460,64.3,74.9,69.7,,76.4,73.1,,0,0,9,9,0.0,0,0
Mason Reiger,122721,ED,EAST SHRNE,1,2,,0,0,354,,81.3,78.8,82.7,66.5,59.3,33.3,1,0,21,22,0.0,0,0
Joshua Eaton,122924,CB,AIN HULA,1,0,,0,0,1447,59.9,48.8,72.5,,30.2,23.9,100.0,2,0,9,9,0.0,0,0
Rashad Battle,123003,CB,WRHK AMER,1,0,,0,0,1542,59.5,60.3,73.5,,61.5,76.2,,0,0,10,10,0.0,0,0
Dayon Hayes,123010,ED,WRHK AMER,2,0,1.3,1,0,1542,,64.4,0.0,58.5,80.1,56.3,0.0,0,2,27,28,11.1,3,3
Bud Clark,123066,S,NORTH SENR,1,1,3.5,0,0,356,67.5,66.3,73.9,,61.6,81.7,0.0,0,0,17,17,5.9,1,2
Adonis Friloux,123216,DI,WEST SHRNE,1,0,,0,0,355,,51.0,73.5,55.9,51.7,,,0,0,10,10,0.0,0,0
Nick Andersen,123370,S,WRHK AMER,1,1,,0,0,1542,79.1,78.8,73.1,,68.4,78.6,0.0,0,0,17,17,0.0,0,0
Jacobian Guillory II,124097,DI,GUAR AMER,1,0,-4.0,0,0,1541,,54.3,74.4,59.2,52.2,70.2,0.0,0,0,6,7,16.7,1,1
Dominic Bailey,124267,ED,KAI HULA,1,0,,0,0,1446,,56.9,73.5,61.2,54.2,,,0,0,7,7,0.0,0,0
Bryson Eason,124276,DI,NORTH SENR,1,0,,0,0,356,,70.2,75.2,86.6,55.8,,,0,0,19,20,0.0,0,0
Cole Wisniewski,125313,S,EAST SHRNE,1,0,6.0,0,0,354,87.2,85.5,69.7,,63.2,38.2,50.0,1,0,5,5,0.0,0,1
James Stewart,126263,ED,HBCUGA,1,0,-4.0,0,0,1459,60.0,88.3,78.5,81.5,76.9,76.3,0.0,0,0,11,12,9.1,1,1
Langston Patterson,126465,LB,WRHK AMER,1,0,,0,0,1542,63.2,49.6,73.6,60.0,39.1,20.7,100.0,2,0,19,19,0.0,0,0
Sabastian Harsh,128416,ED,WRHK AMER,1,2,2.0,0,0,1542,,77.3,76.4,75.1,70.1,77.5,0.0,0,0,17,17,17.6,3,4
Mitchell Melton,129753,ED,KAI HULA,1,1,,0,0,1446,,90.0,78.7,90.2,66.4,74.1,0.0,0,0,12,12,0.0,0,0
Cole Brevard,129766,DI,GUAR AMER,1,1,,0,0,1541,,57.1,76.1,65.2,51.1,27.0,50.0,1,0,6,7,0.0,0,0
Wesley Bailey,129871,ED,AIN HULA,1,0,8.0,0,0,1447,,64.5,76.1,67.5,56.6,72.2,0.0,0,0,7,7,0.0,0,1
