player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Domani Jackson,71370,CB,WEST SHRNE,1,14,0,355,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,7.0,0.0,100.0,,10.0,0,1,100.0,80.7,0,,,0,1,39.6,0,11,78.6,11,0,0,1,0,0,0,0.0,
DJ Harvey,72089,CB,GUAR AMER,1,14,0,1541,0,,,100.0,,,0,0,,61.5,0,,,0,0,0.0,0,2,14.3,2,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,65.6,0,,,0,0,0.0,0,12,85.7,12,0,0,0,0,0,0,0.0,
Silas Walters,75263,S,WRHK AMER,1,11,0,1542,0,,,100.0,,,0,0,,63.2,0,,0.0,0,0,0.0,0,1,9.1,1,0,1,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,63.5,0,,,0,0,0.0,0,10,90.9,10,0,0,0,0,0,0,0.0,
Ceyair Wright,86877,CB,AMER SENR,2,48,0,357,0,3.0,0.0,100.0,,6.0,0,0,0.0,71.2,0,,,0,0,39.6,0,6,12.5,6,0,0,1,0,0,0,0.0,,0,1,5.5,66.7,100.0,8.8,5.8,0,0,0.0,60.7,0,22,16.7,1,0,86.1,4,37,77.1,37,1,4,6,0,41,21,1.2,10.3
Javin Wright,101373,LB,GUAR AMER,1,10,0,1541,0,,,100.0,,,0,0,,61.6,0,,,0,0,0.0,0,3,30.0,3,0,0,0,0,0,0,0.0,,0,1,,,100.0,,,0,0,,65.1,0,,0.0,0,0,0.0,0,6,60.0,6,0,0,0,0,0,0,0.0,
Aaron Harris,104296,CB,HBCUGA,1,15,0,1459,1,12.5,50.0,100.0,6.5,3.3,0,0,0.0,46.0,0,22,0.0,0,0,76.0,2,13,86.7,13,0,2,4,0,31,0,2.4,15.5,0,0,4.0,0.0,100.0,,2.0,0,0,0.0,68.9,1,,,0,0,0.0,0,2,13.3,2,0,0,1,0,0,0,0.0,
Channing Canada,121668,CB,GUAR AMER,1,17,0,1541,0,13.0,66.7,100.0,3.5,2.3,0,0,0.0,55.3,0,9,0.0,0,0,115.3,2,7,41.2,7,0,1,3,1,13,4,1.9,6.5,0,0,8.0,66.7,100.0,4.5,3.0,0,0,0.0,72.6,0,5,0.0,0,0,70.1,2,9,52.9,9,1,2,3,0,8,6,0.9,4.0
Fred Davis II,122146,CB,AMER SENR,1,10,0,357,0,,,100.0,,,0,0,,61.2,0,,,0,0,0.0,0,2,20.0,2,0,0,0,0,0,0,0.0,,0,0,5.0,0.0,100.0,,7.0,0,0,0.0,70.7,1,,,0,0,0.0,0,8,80.0,8,0,0,1,0,0,0,0.0,
Isaiah Stephens,122358,S,HBCURO,1,7,0,1460,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,14.3,1,0,0,0,0,0,0,0.0,,0,0,12.0,0.0,100.0,,5.0,0,0,0.0,61.6,0,,,0,0,39.6,0,6,85.7,6,0,0,1,0,0,0,0.0,
Karon Prunty,122574,CB,AIN HULA,1,7,0,1447,0,8.0,100.0,100.0,2.0,2.0,0,0,0.0,63.6,0,8,0.0,0,0,100.0,1,3,42.9,3,0,1,1,0,8,0,4.0,8.0,0,0,5.0,100.0,100.0,4.0,4.0,0,0,0.0,54.1,0,7,0.0,0,0,95.8,1,4,57.1,4,0,1,1,0,7,2,1.8,7.0
