player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Fabbians Ebbele,9924,T,ARIZONA,14,100.0,1,109,81.6,81.5,78.4,4,12,636,100.0,100.0,98.4,6,18,2,1145,0,0,0,1145,677,677,0,1145,468,0
Logan Dietz,46303,T,BOWL GREEN,14,100.0,0,122,73.3,71.9,74.9,1,22,602,100.0,100.0,97.4,8,27,4,1128,0,0,0,1128,636,636,0,1127,492,0
Alex Huettel,17236,G,BOWL GREEN,14,100.0,1,122,74.9,81.4,75.0,0,9,602,100.0,100.0,98.9,8,11,2,1128,0,0,0,1128,636,636,1128,0,492,0
Sean Rubalcava,13554,G,FRESNO ST,14,100.0,1,169,81.4,84.4,81.3,1,11,607,100.0,100.0,98.4,4,16,4,1122,0,1105,0,1122,637,637,17,0,485,0
Justin Northern,38831,T,FRESNO ST,14,100.0,0,169,68.6,62.4,71.3,8,28,607,100.0,100.0,95.4,6,46,10,1122,0,0,0,1122,637,637,0,1115,485,7
Steven Gurrola,13189,C,ARIZONA,14,100.0,0,109,76.1,91.2,69.8,0,5,618,100.0,100.0,99.4,3,6,1,1113,1113,0,0,1113,659,659,0,0,454,0
Alex Fifita,11040,T,FRESNO ST,14,100.0,0,169,83.8,79.2,81.1,7,17,604,100.0,100.0,97.4,0,28,4,1113,0,0,1103,1113,634,634,0,0,479,10
Bo Bonnheim,17345,C,FRESNO ST,14,100.0,0,169,87.2,84.7,89.2,2,13,603,100.0,100.0,98.3,4,18,3,1111,1111,0,0,1111,633,633,0,0,478,0
Cody Wichmann,9648,G,FRESNO ST,14,100.0,0,169,91.2,88.7,91.4,2,6,603,100.0,100.0,99.0,2,10,2,1111,0,6,0,1111,633,633,1105,0,478,0
Adam Pankey,12114,T,W VIRGINIA,13,100.0,0,343,57.8,69.6,53.6,5,34,578,100.0,100.0,95.9,8,43,4,1110,0,0,1110,1110,611,611,0,0,499,0
Tyler Orlosky,12256,C,W VIRGINIA,13,99.9,0,343,76.1,91.8,70.3,2,2,578,100.0,100.0,99.7,3,4,0,1106,1107,0,0,1107,610,610,0,0,496,0
Mickey Baucus,9811,T,ARIZONA,14,100.0,1,109,66.8,80.2,63.7,2,12,600,100.0,100.0,97.8,7,20,6,1105,0,0,1105,1105,639,639,0,0,466,0
Mark Glowinski,9567,G,W VIRGINIA,13,100.0,0,343,77.1,75.7,75.0,1,18,575,100.0,100.0,98.0,3,21,2,1103,0,0,0,1103,607,607,1103,0,496,0
Kyle Fuller,11998,C,BAYLOR,13,100.0,1,118,68.5,80.6,66.6,0,5,540,100.0,100.0,99.0,11,8,3,1087,1087,0,0,1087,569,569,0,0,518,0
Ike Harris,51606,T,E CAROLINA,13,100.0,1,156,65.4,79.5,60.2,7,24,683,100.0,100.0,97.1,7,35,4,1084,0,0,1082,1084,723,723,0,2,361,0
Marquis Lucas,10970,T,W VIRGINIA,13,100.0,2,343,69.1,82.2,58.7,1,18,556,100.0,100.0,97.6,7,23,4,1077,0,0,0,1077,588,588,0,1077,489,0
Tim McAuliffe,45569,C,BOWL GREEN,14,100.0,1,122,80.2,82.1,81.2,3,7,572,100.0,100.0,99.0,8,11,1,1070,1070,0,0,1070,604,604,0,0,466,0
Quincy McKinney,17959,G,E CAROLINA,13,100.0,0,156,83.0,79.0,86.2,5,17,670,100.0,100.0,98.4,7,22,0,1067,0,1067,0,1067,709,709,0,0,358,0
Taylor Hudson,14218,C,E CAROLINA,13,100.0,2,156,71.9,74.3,73.5,6,18,677,100.0,100.0,97.9,15,26,2,1065,1065,0,0,1065,716,716,0,0,349,0
Billy Price,46795,G,OHIO STATE,15,100.0,0,260,69.9,51.4,74.6,5,21,488,100.0,100.0,95.9,5,33,7,1061,42,859,0,1061,503,503,160,0,558,0
Jacob Bennett,21772,T,BOWL GREEN,14,100.0,0,122,74.3,78.8,69.9,1,20,565,100.0,100.0,97.3,4,26,5,1060,0,0,1060,1060,595,595,0,0,465,0
Marcus Henry,11228,C,BOISE ST,14,100.0,0,120,73.4,80.2,71.1,3,9,537,100.0,100.0,98.0,5,17,5,1059,1059,0,0,1059,559,559,0,0,500,0
Travis Averill,46117,G,BOISE ST,14,100.0,0,120,75.2,82.0,71.5,1,10,537,100.0,100.0,98.6,1,13,2,1059,0,1059,0,1059,559,559,0,0,500,0
Mario Yakoo,46895,G,BOISE ST,14,100.0,0,120,70.7,71.5,73.8,2,17,535,100.0,100.0,98.0,9,20,1,1055,0,0,0,1055,557,557,1055,0,498,0
Joe Dahl,10785,T,WASH STATE,12,100.0,0,341,79.5,89.9,68.3,2,19,823,100.0,100.0,98.1,8,26,5,1051,0,0,1051,1051,866,866,0,0,185,0
