player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Mason White,43872,S,OREGON ST,11,0,0,265,68.1,0,0,3,4.6,33.3,1,0,0.0,0,87,4,0,0,71.4,0,0,1,7.7,100.0,1,0.0,0,26,2,0
James Camden,53418,LB,W MICHIGAN,12,0,0,347,76.5,1,8,59,22.1,10.2,6,0,14.4,4,285,63,13,0,86.5,1,3,17,16.3,17.6,3,23.5,2,123,20,6
Malik Denkins,55516,ED,C MICHIGAN,7,0,0,134,56.2,0,0,25,100.0,4.0,1,0,0.0,0,26,26,0,0,54.8,0,0,8,100.0,0.0,0,0.0,0,8,8,0
Shaun Myers,62235,LB,COLORADO,10,0,0,143,52.4,0,3,28,25.8,3.6,1,1,5.4,0,128,33,3,0,52.1,0,0,6,15.7,0.0,0,0.0,0,51,8,0
Will Whitson,64470,ED,MISS STATE,2,0,0,227,74.8,0,4,25,100.0,20.0,5,0,16.0,2,28,28,6,0,66.1,0,2,8,100.0,25.0,2,12.5,0,9,9,2
Mister Williams,70521,LB,S DIEGO ST,12,0,0,284,72.1,2,5,33,11.3,18.2,6,0,10.6,0,301,34,7,0,81.6,2,3,16,12.8,31.3,5,15.6,0,125,16,5
Ben Florentine,70644,DI,WYOMING,12,1,0,351,69.3,5,12,254,98.9,8.3,21,0,4.9,4,269,266,21,1,70.9,3,4,73,100.0,12.3,9,7.5,2,77,77,9
Korey Foreman,70831,ED,FRESNO ST,12,1,1,169,69.8,4,8,169,90.8,14.2,24,2,5.9,4,195,177,16,0,68.5,1,6,68,93.7,19.1,13,11.0,4,79,74,11
Calvin Pitcher,70877,LB,UAB,12,0,0,321,52.3,0,2,18,17.8,0.0,0,0,11.1,1,107,19,3,0,52.9,0,1,9,21.4,0.0,0,16.7,1,42,9,2
Tate Romney,70946,LB,ARIZONA ST,10,0,0,110,53.4,0,0,5,13.2,0.0,0,1,0.0,0,53,7,0,0,55.4,0,0,2,17.6,0.0,0,0.0,0,17,3,0
Domani Jackson,71370,CB,ALABAMA,13,0,0,103,67.2,0,1,3,1.2,0.0,0,4,16.7,0,258,3,1,0,,0,0,0,0.0,,0,,0,109,0,0
Keanu Tanuvasa,71398,DI,BYU,12,1,0,128,63.5,2,16,243,100.0,7.0,17,2,4.5,2,256,256,20,0,60.9,1,5,72,100.0,6.9,5,5.6,1,77,77,7
Solomone Langi,72318,DI,S JOSE ST,11,0,0,285,66.4,2,0,68,98.6,2.9,2,0,4.4,2,73,72,4,0,66.0,1,0,10,92.3,10.0,1,5.0,0,13,12,1
