year,team,team_canonical,team_abbr,record,wins,losses,ties,pf,pa,over,off,pass,pblk,recv,run,rblk,def,rdef,tack,prsh,cov,spec
2023,Arizona Cardinals,Arizona Cardinals,ARI,4-13,4,13,0,330,455,65.5,67.8,57.7,65.3,67.1,92.3,54.0,50.9,38.2,54.1,62.7,55.2,84.1
2023,Atlanta Falcons,Atlanta Falcons,ATL,7-10,7,10,0,321,373,81.0,70.8,49.4,74.2,74.0,76.7,68.2,76.8,87.6,61.0,64.6,65.2,65.3
2023,Baltimore Ravens,Baltimore Ravens,BAL,14-5,14,5,0,527,307,94.0,81.6,82.5,74.5,74.9,91.2,69.0,89.8,67.8,53.6,81.7,93.0,83.0
2023,Buffalo Bills,Buffalo Bills,BUF,12-7,12,7,0,506,355,90.2,80.6,88.2,70.5,75.0,91.3,61.2,77.8,54.1,41.4,76.4,91.3,72.7
2023,Carolina Panthers,Carolina Panthers,CAR,2-15,2,15,0,236,416,68.6,61.0,57.0,53.6,63.3,79.5,53.5,73.0,65.1,32.0,71.5,79.8,71.8
2023,Chicago Bears,Chicago Bears,CHI,7-10,7,10,0,360,379,73.5,69.1,62.2,57.3,73.1,89.7,55.1,64.5,53.0,60.7,59.1,78.1,78.6
2023,Cincinnati Bengals,Cincinnati Bengals,CIN,9-8,9,8,0,366,384,80.0,73.2,77.1,58.8,75.3,76.9,55.7,67.9,62.3,73.3,76.2,60.9,88.7
2023,Cleveland Browns,Cleveland Browns,CLE,11-7,11,7,0,410,407,79.4,64.7,55.8,65.2,66.6,75.4,56.1,82.6,58.6,46.1,91.3,89.9,83.6
2023,Dallas Cowboys,Dallas Cowboys,DAL,12-6,12,6,0,541,363,93.2,81.7,85.6,69.5,81.2,84.6,63.1,84.7,70.3,82.4,90.9,81.8,81.3
2023,Denver Broncos,Denver Broncos,DEN,8-9,8,9,0,357,413,75.9,74.6,71.0,72.7,69.6,77.6,72.3,60.0,59.3,34.2,69.8,48.4,83.9
2023,Detroit Lions,Detroit Lions,DET,14-6,14,6,0,547,475,92.7,88.2,85.2,69.4,85.1,88.9,82.1,69.7,73.8,41.2,74.8,51.6,81.8
2023,Green Bay Packers,Green Bay Packers,GNB,10-9,10,9,0,452,406,83.6,78.7,83.7,70.1,79.8,85.7,55.1,70.9,61.3,58.9,75.5,73.5,67.0
2023,Houston Texans,Houston Texans,HOU,11-8,11,8,0,432,401,86.4,75.0,74.2,62.9,81.3,75.1,57.3,77.5,63.1,43.1,75.8,89.8,80.0
2023,Indianapolis Colts,Indianapolis Colts,IND,9-8,9,8,0,396,415,76.3,70.0,59.7,71.7,68.5,72.4,68.0,70.8,60.4,36.7,79.4,69.9,67.5
2023,Jacksonville Jaguars,Jacksonville Jaguars,JAX,9-8,9,8,0,377,371,76.6,67.5,79.6,59.6,70.4,75.8,40.6,72.6,64.0,47.9,64.5,85.6,85.4
2023,Kansas City Chiefs,Kansas City Chiefs,KAN,15-6,15,6,0,466,357,88.4,77.1,84.2,71.1,74.3,82.6,61.5,75.6,62.9,57.6,76.0,79.1,90.4
2023,Las Vegas Raiders,Las Vegas Raiders,LVR,8-9,8,9,0,332,331,82.5,71.2,64.9,68.5,71.6,73.9,62.9,78.5,73.9,53.3,75.3,80.2,69.8
2023,Los Angeles Chargers,Los Angeles Chargers,LAC,5-12,5,12,0,346,398,79.7,69.2,79.0,68.3,71.3,69.4,40.1,71.8,65.6,61.8,71.9,71.2,90.8
2023,Los Angeles Rams,Los Angeles Rams,LAR,10-8,10,8,0,427,401,85.0,81.5,84.4,62.5,77.1,90.0,71.5,68.2,70.2,46.3,77.5,46.2,64.1
2023,Miami Dolphins,Miami Dolphins,MIA,11-7,11,7,0,503,417,93.7,84.3,87.7,65.7,85.7,91.7,57.8,85.4,89.1,48.0,84.1,71.2,66.6
2023,Minnesota Vikings,Minnesota Vikings,MIN,7-10,7,10,0,344,362,83.4,78.0,77.2,74.4,77.8,75.2,65.0,68.4,62.2,48.5,59.9,77.3,79.0
2023,New England Patriots,New England Patriots,NWE,4-13,4,13,0,236,366,70.8,63.3,50.3,50.9,66.7,78.7,63.5,72.8,80.7,71.0,62.2,66.8,77.6
2023,New Orleans Saints,New Orleans Saints,NOR,9-8,9,8,0,402,327,82.7,71.8,74.5,55.7,76.4,79.1,54.7,76.9,63.0,61.6,69.2,90.3,90.4
2023,New York Giants,New York Giants,NYG,6-11,6,11,0,266,407,61.0,57.4,65.5,43.4,62.3,69.5,40.9,68.0,58.0,42.9,66.1,77.6,69.0
2023,New York Jets,New York Jets,NYJ,7-10,7,10,0,268,355,77.4,56.8,50.4,48.4,63.0,70.8,53.7,90.0,66.8,60.6,81.8,94.3,89.0
2023,Philadelphia Eagles,Philadelphia Eagles,PHI,11-7,11,7,0,442,460,90.4,80.3,83.3,76.6,75.2,74.8,74.6,74.2,78.0,62.5,80.0,57.3,89.0
2023,Pittsburgh Steelers,Pittsburgh Steelers,PIT,10-8,10,8,0,321,355,80.6,67.4,62.6,45.2,68.9,82.9,63.8,80.7,69.6,55.2,88.1,73.6,79.1
2023,San Francisco 49ers,San Francisco 49ers,SFO,14-6,14,6,0,571,375,95.3,91.5,81.1,57.2,91.0,92.1,83.9,88.6,65.6,69.0,90.0,91.8,71.8
2023,Seattle Seahawks,Seattle Seahawks,SEA,9-8,9,8,0,364,402,86.2,76.3,80.2,52.9,79.3,85.3,62.7,73.5,59.7,33.9,79.4,80.9,90.7
2023,Tampa Bay Buccaneers,Tampa Bay Buccaneers,TAM,10-9,10,9,0,403,365,78.0,71.4,75.0,70.6,73.3,70.5,52.1,69.1,57.1,69.3,74.9,72.0,67.6
2023,Tennessee Titans,Tennessee Titans,TEN,6-11,6,11,0,305,367,74.3,70.1,64.2,57.1,73.1,88.9,59.8,64.7,59.6,66.2,70.6,61.4,87.2
2023,Washington Commanders,Washington Commanders,WAS,4-13,4,13,0,329,518,69.9,68.8,59.6,67.0,67.7,80.0,65.2,61.9,50.5,62.4,67.0,65.9,62.0
