player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Chris Hilton Jr.,146762,WR,GUAR AMER,4,9,0,1541,11.3,0,66.7,100.0,1,1,0.0,0,-0.16,2,0,70.7,70.1,0,35,0.0,0,17,40.0,2,88.2,15,109.7,3,20.0,0,52,18,9.0,26.0,3.47,0,4.7,0,50.0,,0,0,0.0,0,-0.31,1,0,73.1,55.0,0,8,0.0,0,43,37.2,3,100.0,43,56.3,6,14.0,0,15,9,3.0,5.0,0.35
Eric Rivers,144279,WR,WEST SHRNE,1,7,0,355,7.0,0,0.0,0.0,0,1,,0,-0.18,0,0,,54.2,0,0,0.0,0,11,50.0,0,90.9,10,39.6,1,10.0,0,0,0,,,0.0,0,7.4,0,80.0,50.0,1,2,0.0,0,0.44,2,0,74.9,75.8,0,25,0.0,0,16,62.5,4,100.0,16,113.3,5,31.3,0,56,29,7.3,14.0,3.5
Dean Connors,156624,HB,KAI HULA,2,6,0,1446,-1.5,1,100.0,,0,0,0.0,0,0.81,1,0,70.7,65.8,0,9,5.6,1,18,56.3,2,83.3,15,85.4,2,13.3,0,9,12,6.0,4.5,0.6,0,-1.0,2,75.0,,0,0,0.0,0,0.49,1,0,73.1,70.9,0,10,6.7,1,15,60.0,3,93.3,14,81.3,4,28.6,0,16,20,6.7,5.3,1.14
CJ Williams,158471,WR,WEST SHRNE,1,6,0,355,8.5,0,50.0,,0,0,0.0,0,-1.1,0,0,66.7,63.6,0,9,0.0,0,9,25.0,1,88.9,8,62.5,2,25.0,0,9,5,5.0,9.0,1.13,0,12.3,0,75.0,100.0,1,1,0.0,0,0.03,2,0,73.1,70.1,0,16,0.0,0,19,52.6,3,100.0,19,97.9,4,21.1,0,32,5,1.7,10.7,1.68
Tyren Montgomery,165655,WR,WRHK AMER,2,5,0,1542,23.6,0,0.0,0.0,0,2,,0,-0.6,0,0,,54.3,0,0,0.0,0,8,14.3,0,87.5,7,39.6,5,71.4,0,0,0,,,0.0,0,,0,,,0,0,,0,-0.34,0,0,66.7,58.1,0,0,0.0,0,26,33.3,0,92.3,24,0.0,0,0.0,0,0,0,,,0.0
Dan Villari,129602,TE,AMER SENR,1,5,0,357,12.0,0,0.0,,0,0,,0,-0.27,0,0,,54.3,0,0,0.0,0,6,20.0,0,83.3,5,39.6,1,20.0,0,0,0,,,0.0,0,7.8,0,100.0,100.0,1,1,0.0,0,0.56,2,0,74.9,85.3,0,24,9.1,1,11,72.7,4,90.9,10,114.6,4,40.0,0,46,15,3.8,11.5,4.6
Jordan Smith,154034,WR,HBCUGA,1,5,0,1459,8.6,2,60.0,0.0,0,2,0.0,0,0.02,3,0,73.1,80.0,0,21,0.0,0,12,41.7,3,100.0,12,94.6,5,41.7,0,51,28,9.3,17.0,4.25,0,,0,,,0,0,,0,0.93,0,0,16.4,46.2,0,0,0.0,0,8,83.3,0,75.0,6,0.0,0,0.0,0,0,0,,,0.0
Jordan Hudson,157298,WR,NORTH SENR,1,5,0,356,3.0,0,0.0,,0,0,,0,-1.78,0,0,,55.1,0,0,0.0,0,5,0.0,0,100.0,5,39.6,1,20.0,0,0,0,,,0.0,0,10.3,0,33.3,0.0,0,1,50.0,1,0.07,0,0,24.5,49.1,0,8,0.0,0,15,53.3,1,100.0,15,42.4,3,20.0,0,8,3,3.0,8.0,0.53
Trenton Leary,132721,WR,HBCURO,1,5,0,1460,20.0,0,40.0,100.0,1,1,33.3,1,-0.44,2,0,31.6,66.9,0,27,0.0,0,15,26.7,2,100.0,15,69.6,5,33.3,0,41,1,0.5,20.5,2.73,0,,0,,,0,0,,0,-5.57,0,0,,57.8,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Deandre Proctor,213349,WR,HBCUGA,1,5,0,1459,11.0,0,50.0,100.0,1,1,0.0,0,-0.04,1,0,66.7,62.5,1,8,0.0,0,10,40.0,1,100.0,10,60.4,2,20.0,1,8,0,0.0,8.0,0.8,0,10.7,2,100.0,,0,0,0.0,0,1.13,3,0,73.1,87.8,0,21,0.0,0,7,83.3,3,85.7,6,118.8,3,50.0,0,56,24,8.0,18.7,9.33
