player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_kick_return,grades_punt_return,grades_return,kickoff_attempts,kickoff_fair_catches,kickoff_long,kickoff_muffed_returns,kickoff_touchdowns,kickoff_yards,kickoff_ypa,penalties,punt_attempts,punt_fair_catches,punt_long,punt_muffed_returns,punt_touchdowns,punt_yards,punt_ypa,total_attempts
Joe Royer,52545,TE,CINCINNATI,12,0,138,59.9,,59.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Mavin Anderson,71443,WR,TEXAS ST,11,0,314,63.2,,63.9,1,2,28,0,0,28,28.0,0,0,0,0,0,0,0,,1
Aaron Smith,71596,CB,NEW MEXICO,12,0,241,61.8,,61.9,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,,1
Jayden Dixon-Veal,71698,WR,CAL,9,0,130,59.9,,59.9,1,0,0,1,0,0,0.0,1,0,0,0,0,0,0,,1
Cam Davis,72376,HB,MINNESOTA,12,0,225,59.6,,59.5,2,0,17,0,0,34,17.0,0,0,0,0,0,0,0,,2
Reis Stocksdale,73860,WR,BOWL GREEN,11,0,122,,54.2,56.1,0,0,0,0,0,0,,0,2,1,1,1,0,0,0.0,2
Ryan Quintanar,74152,LB,USC,12,0,326,59.9,,59.9,1,0,17,0,0,17,17.0,0,0,0,0,0,0,0,,1
Solomon Vanhorse,78573,HB,INDIANA,12,0,190,59.4,,59.3,1,0,5,0,0,5,5.0,1,0,0,0,0,0,0,,1
Byron Cardwell Jr.,86353,HB,S DIEGO ST,12,0,284,66.5,,67.2,1,0,31,0,0,31,31.0,0,0,0,0,0,0,0,,1
Cam Ross,97105,WR,VIRGINIA,11,0,335,68.6,79.6,74.4,7,1,101,0,1,251,35.9,0,21,13,48,0,0,170,8.1,28
Alante Brown,97171,WR,MICH STATE,3,0,223,92.4,,93.2,4,0,92,0,1,214,53.5,0,0,0,0,0,0,0,,4
Juwaun Price,97204,HB,UMASS,12,0,216,54.0,,52.9,0,4,0,0,0,0,,0,0,0,0,0,0,0,,0
Devin Voisin,97427,WR,S ALABAMA,12,0,288,59.9,74.9,68.8,0,1,0,0,0,0,,0,11,17,46,0,0,125,11.4,11
Logan Wilson,99280,CB,CINCINNATI,11,0,138,63.0,60.3,63.5,8,6,37,0,0,190,23.8,0,0,1,0,0,0,0,,8
