player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Mason White,43872,S,OREGON ST,11,5,10.0,0,0,265,81.1,69.2,81.8,68.1,43.3,73.7,17.6,3,0,104,107,3.8,4,9
James Camden,53418,LB,W MICHIGAN,12,16,4.2,0,0,347,78.5,82.3,83.9,76.5,76.3,65.1,14.9,10,0,267,272,9.4,25,41
Iesa Jarmon,53981,CB,AKRON,1,0,,0,0,102,43.4,43.4,71.0,,60.0,,,0,0,4,4,0.0,0,0
Malik Denkins,55516,ED,C MICHIGAN,7,2,1.3,0,0,134,61.2,61.6,78.9,56.2,59.2,77.9,0.0,0,0,36,37,8.3,3,3
Shaun Myers,62235,LB,COLORADO,12,4,2.0,0,0,143,74.1,70.1,29.0,52.4,69.1,54.8,18.8,6,1,188,190,9.0,17,22
Will Whitson,64470,ED,MISS STATE,2,2,-2.0,0,0,227,,81.1,76.9,74.8,75.4,78.8,0.0,0,0,18,18,16.7,3,3
Mister Williams,70521,LB,S DIEGO ST,12,20,3.5,0,0,284,54.0,70.0,83.8,72.1,80.7,75.9,5.8,3,0,240,246,8.3,20,29
Ben Florentine,70644,DI,WYOMING,12,9,1.6,0,0,351,57.0,74.8,86.1,69.3,74.5,67.5,6.5,2,0,277,282,6.1,17,20
Korey Foreman,70831,ED,FRESNO ST,12,4,3.5,1,0,169,46.4,67.3,33.8,69.8,71.9,58.7,5.3,1,2,106,109,8.5,9,14
Calvin Pitcher,70877,LB,UAB,12,12,4.1,0,0,321,45.6,60.1,84.7,52.3,70.4,66.1,5.4,2,0,197,200,7.1,14,23
Tate Romney,70946,LB,ARIZONA ST,10,1,4.6,0,0,110,52.1,49.6,0.0,53.4,56.5,50.2,18.2,2,1,47,48,4.3,2,8
Domani Jackson,71370,CB,ALABAMA,12,2,12.2,0,0,103,68.9,68.6,28.0,67.2,66.2,86.0,5.9,1,4,158,160,2.5,4,14
Keanu Tanuvasa,71398,DI,BYU,12,7,2.0,0,0,128,71.7,63.2,43.9,63.5,61.3,54.0,11.1,2,2,196,197,3.6,7,9
Aaron Smith,71596,CB,NEW MEXICO,2,0,,0,0,241,33.3,34.2,76.3,,53.8,41.8,100.0,1,0,12,12,0.0,0,0
DJ Harvey,72089,CB,USC,6,0,,0,0,326,51.4,52.7,78.8,,64.3,40.7,,0,1,30,30,0.0,0,0
Solomone Langi,72318,DI,S JOSE ST,11,9,1.3,0,0,285,60.7,71.4,82.6,66.4,70.5,60.2,10.5,2,0,130,135,6.2,8,8
Raider Damuni,72338,S,BYU,10,6,3.9,0,0,128,69.5,65.9,81.8,60.7,58.2,63.2,21.4,6,0,143,143,7.0,10,16
Justin Flowe,72388,LB,UNLV,8,4,5.5,0,0,325,75.4,75.3,0.0,56.5,81.1,67.7,0.0,0,1,24,24,4.2,1,2
Ian Shewell,72474,DI,ARIZONA ST,1,0,,0,0,110,60.2,65.7,71.6,63.4,60.9,71.3,,0,0,3,3,0.0,0,0
Jadon Pearson,72538,LB,FRESNO ST,12,15,4.4,0,0,169,66.9,63.9,86.6,47.6,63.9,76.3,10.8,7,0,287,302,9.4,27,43
Marco Notarainni,73389,LB,BOISE ST,12,11,2.8,0,0,120,69.2,64.0,55.6,63.3,58.2,52.7,16.1,9,1,318,323,8.2,26,36
Trent Whalen,73609,LB,ARKANSAS,5,0,2.0,0,0,111,54.8,61.6,74.0,64.6,69.8,82.7,0.0,0,0,10,11,20.0,2,2
Gio De Leon,73658,LB,BUFFALO,3,0,,0,0,126,64.2,60.9,74.4,57.7,57.0,73.0,,0,0,11,11,0.0,0,0
Cory Hall,73699,DI,UNLV,2,0,,0,0,325,,53.4,71.7,58.0,55.2,,,0,0,7,7,0.0,0,0
Taariq Al-Uqdah,74119,LB,WASHINGTON,3,1,7.7,0,0,340,63.4,64.1,80.5,68.8,58.5,78.4,8.3,1,0,55,56,10.9,6,10
Ryan Quintanar,74152,LB,USC,1,0,,0,0,326,36.1,28.7,70.8,56.0,41.7,17.7,100.0,1,0,4,4,0.0,0,0
Justin Sinclair,74258,S,HAWAII,9,2,7.0,0,1,180,50.2,56.6,79.7,60.0,69.3,79.8,0.0,0,2,62,64,3.2,2,9
Zion Branch,74395,S,GEORGIA,8,1,4.9,0,0,173,59.0,64.0,82.3,,75.3,74.7,0.0,0,2,76,77,6.6,5,9
Jaymar Mundy,75041,CB,OHIO,5,0,5.0,2,0,259,51.2,48.9,0.0,,58.6,59.0,50.0,1,2,26,26,3.8,1,1
Silas Walters,75263,S,MIAMI OH,10,9,6.8,1,0,221,71.4,70.5,52.3,64.0,68.5,63.3,18.5,5,3,232,236,2.6,6,13
Aneesh Vyas,75285,DI,WYOMING,9,3,4.1,0,0,351,60.0,55.5,83.0,50.5,56.5,64.3,0.0,0,0,122,126,4.1,5,9
Bam Booker,76122,ED,BOWL GREEN,12,5,4.1,0,0,122,61.8,55.6,60.7,53.8,57.1,70.5,0.0,0,1,172,174,2.9,5,9
Solomon Vanhorse,78573,HB,INDIANA,1,0,,0,0,190,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
