player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Mason White,43872,S,OREGON ST,11,0,8.2,80.0,95.4,19.0,15.2,0,0,2,40.0,265,81.1,69.2,81.8,68.1,43.3,73.7,0,18,0.0,0,2,0,92.5,4,83,87,2,10,5,0,31,18,0.4,7.8
James Camden,53418,LB,W MICHIGAN,12,2,4.1,72.2,77.9,15.5,11.2,0,0,0,0.0,347,78.5,82.3,83.9,76.5,76.3,65.1,0,24,11.8,2,0,0,110.2,13,222,285,10,13,18,1,127,82,0.6,9.8
Iesa Jarmon,53981,CB,AKRON,1,0,17.0,100.0,100.0,4.0,4.0,0,0,0,0.0,102,43.4,43.4,71.0,,60.0,,0,37,,0,0,0,158.3,2,8,8,0,0,2,2,49,21,6.1,24.5
Shaun Myers,62235,LB,COLORADO,10,3,5.0,72.7,74.2,11.3,8.2,0,0,1,9.1,143,74.1,70.1,29.0,52.4,69.1,54.8,0,33,12.5,1,1,1,125.0,8,95,128,2,4,11,2,60,45,0.7,7.5
Mister Williams,70521,LB,S DIEGO ST,12,0,3.1,65.4,88.7,14.8,9.7,0,0,2,7.7,284,54.0,70.0,83.8,72.1,80.7,75.9,0,35,18.2,2,1,0,99.5,17,267,301,5,9,26,1,188,150,0.7,11.1
Ben Florentine,70644,DI,WYOMING,12,0,,,1.1,,,0,0,0,,351,57.0,74.8,86.1,69.3,74.5,67.5,0,,33.3,1,0,0,0.0,0,3,269,4,2,0,0,0,0,0.0,
Korey Foreman,70831,ED,FRESNO ST,12,0,11.7,66.7,9.2,9.0,6.0,1,2,2,66.7,169,46.4,67.3,33.8,69.8,71.9,58.7,0,17,100.0,4,2,2,103.5,2,18,195,4,0,3,0,33,10,1.8,16.5
Calvin Pitcher,70877,LB,UAB,12,2,6.4,77.8,82.2,11.9,9.2,0,0,1,11.1,321,45.6,60.1,84.7,52.3,70.4,66.1,0,65,50.0,5,1,0,155.8,7,88,107,1,3,9,1,126,104,1.5,18.0
Tate Romney,70946,LB,ARIZONA ST,10,1,7.8,66.7,86.8,11.0,7.3,0,0,1,16.7,110,52.1,49.6,0.0,53.4,56.5,50.2,0,30,33.3,1,1,1,138.9,4,46,53,0,1,6,1,60,31,1.4,15.0
Domani Jackson,71370,CB,ALABAMA,13,2,7.3,77.8,98.8,17.4,13.5,0,0,1,5.6,103,68.9,68.6,28.0,67.2,66.2,86.0,0,38,4.5,1,1,4,116.9,14,255,258,8,19,18,1,137,36,0.6,9.8
